1400 2.94522254e-03 1.92277943e-03
5.50210595e-03 3.63115760e+01 5.15738167e-05 6.70813882e+01
5.56586314e-03 3.63115813e+01 5.26446820e-05 6.68593718e+01
5.63035913e-03 3.63115660e+01 5.37208597e-05 6.66384873e+01
5.69560249e-03 3.63115628e+01 5.48297566e-05 6.64187884e+01
5.76160187e-03 3.63115594e+01 5.59585191e-05 6.61997563e+01
5.82836604e-03 3.63115914e+01 5.71182843e-05 6.59805056e+01
5.89590386e-03 3.63115534e+01 5.82776436e-05 6.57601609e+01
5.96422429e-03 3.63115563e+01 5.94768238e-05 6.55382499e+01
6.03333640e-03 3.63115412e+01 6.07073782e-05 6.53149335e+01
6.10324937e-03 3.63115443e+01 6.19402624e-05 6.50909554e+01
6.17397248e-03 3.63115463e+01 6.32073406e-05 6.48673111e+01
6.24551510e-03 3.63115554e+01 6.45079590e-05 6.46447785e+01
6.31788675e-03 3.63115609e+01 6.58331104e-05 6.44235309e+01
6.39109703e-03 3.63115399e+01 6.71718497e-05 6.42030356e+01
6.46515565e-03 3.63115416e+01 6.85483645e-05 6.39823141e+01
6.54007244e-03 3.63115353e+01 6.99319822e-05 6.37604514e+01
6.61585736e-03 3.63115314e+01 7.13639382e-05 6.35370978e+01
6.69252045e-03 3.63115214e+01 7.28321286e-05 6.33126845e+01
6.77007190e-03 3.63115208e+01 7.43130264e-05 6.30882084e+01
6.84852199e-03 3.63115195e+01 7.58242440e-05 6.28647649e+01
6.92788115e-03 3.63115243e+01 7.73735561e-05 6.26425307e+01
7.00815991e-03 3.63115188e+01 7.89523340e-05 6.24213464e+01
7.08936892e-03 3.63114419e+01 8.05551907e-05 6.22001015e+01
7.17151896e-03 3.63114082e+01 8.21866879e-05 6.19777951e+01
7.25462093e-03 3.63115122e+01 8.38502644e-05 6.17541021e+01
7.33868588e-03 3.63115096e+01 8.55589371e-05 6.15296134e+01
7.42372495e-03 3.63115069e+01 8.72893619e-05 6.13054707e+01
7.50974943e-03 3.63114925e+01 8.90680630e-05 6.10826060e+01
7.59677075e-03 3.63114920e+01 9.08792468e-05 6.08610889e+01
7.68480045e-03 3.63114969e+01 9.27008807e-05 6.06400606e+01
7.77385022e-03 3.63114967e+01 9.45758005e-05 6.04183455e+01
7.86393188e-03 3.63114902e+01 9.64851150e-05 6.01953299e+01
7.95505738e-03 3.63114867e+01 9.84389443e-05 5.99714545e+01
8.04723883e-03 3.63114849e+01 1.00426008e-04 5.97479065e+01
8.14048845e-03 3.63114603e+01 1.02448510e-04 5.95257006e+01
8.23481863e-03 3.63114746e+01 1.04517711e-04 5.93048562e+01
8.33024189e-03 3.63114728e+01 1.06625978e-04 5.90843638e+01
8.42677089e-03 3.63114682e+01 1.08772353e-04 5.88630254e+01
8.52441845e-03 3.63114666e+01 1.10959258e-04 5.86404990e+01
8.62319753e-03 3.63114577e+01 1.13181047e-04 5.84176330e+01
8.72312124e-03 3.63120353e+01 1.15454684e-04 5.81957366e+01
8.82420284e-03 3.63114525e+01 1.17776594e-04 5.79753899e+01
8.92645575e-03 3.63114496e+01 1.20153248e-04 5.77558871e+01
9.02989355e-03 3.63114448e+01 1.22555358e-04 5.75358956e+01
9.13452996e-03 3.63114431e+01 1.25000936e-04 5.73147627e+01
9.24037887e-03 3.63114322e+01 1.27510381e-04 5.70931981e+01
9.34745434e-03 3.63114301e+01 1.30050621e-04 5.68725873e+01
9.45577057e-03 3.63114286e+01 1.32670693e-04 5.66535651e+01
9.56534195e-03 3.63114225e+01 1.35294673e-04 5.64353288e+01
9.67618302e-03 3.63114170e+01 1.38007198e-04 5.62164927e+01
9.78830849e-03 3.63114115e+01 1.40771374e-04 5.59967150e+01
9.90173325e-03 3.63114069e+01 1.43571347e-04 5.57768737e+01
1.00164723e-02 3.63114034e+01 1.46409357e-04 5.55581939e+01
1.01325410e-02 3.63113984e+01 1.49368539e-04 5.53411625e+01
1.02499547e-02 3.63113932e+01 1.52328303e-04 5.51242554e+01
1.03687289e-02 3.63113877e+01 1.55364801e-04 5.49063819e+01
1.04888794e-02 3.63113824e+01 1.58452889e-04 5.46880620e+01
1.06104222e-02 3.63113768e+01 1.61593328e-04 5.44708013e+01
1.07333734e-02 3.63113714e+01 1.64823132e-04 5.42551469e+01
1.08577494e-02 3.63113655e+01 1.68087415e-04 5.40399468e+01
1.09835666e-02 3.63113598e+01 1.71397911e-04 5.38238986e+01
1.11108418e-02 3.63113536e+01 1.74813044e-04 5.36073681e+01
1.12395917e-02 3.63113477e+01 1.78291014e-04 5.33919101e+01
1.13698336e-02 3.63113415e+01 1.81814056e-04 5.31780488e+01
1.15015848e-02 3.63113350e+01 1.85394636e-04 5.29644955e+01
1.16348626e-02 3.63113286e+01 1.89060503e-04 5.27500688e+01
1.17696848e-02 3.63113219e+01 1.92798182e-04 5.25355115e+01
1.19060693e-02 3.63113152e+01 1.96623207e-04 5.23223760e+01
1.20440342e-02 3.63113084e+01 2.00472164e-04 5.21105642e+01
1.21835978e-02 3.63113013e+01 2.04458468e-04 5.18984730e+01
1.23247786e-02 3.63112942e+01 2.08471122e-04 5.16856343e+01
1.24675955e-02 3.63112869e+01 2.12583511e-04 5.14735301e+01
1.26120672e-02 3.63112800e+01 2.16764290e-04 5.12630759e+01
1.27582130e-02 3.63112719e+01 2.21047805e-04 5.10530181e+01
1.29060524e-02 3.63112643e+01 2.25346162e-04 5.08421518e+01
1.30556049e-02 3.63112564e+01 2.29812305e-04 5.06315198e+01
1.32068903e-02 3.63112483e+01 2.34323988e-04 5.04225120e+01
1.33599289e-02 3.63112402e+01 2.38930733e-04 5.02142561e+01
1.35147408e-02 3.63112319e+01 2.43602951e-04 5.00052751e+01
1.36713466e-02 3.63112234e+01 2.48377530e-04 4.97963770e+01
1.38297671e-02 3.63112147e+01 2.53273079e-04 4.95890722e+01
1.39900234e-02 3.63112058e+01 2.58192939e-04 4.93825250e+01
1.41521367e-02 3.63111969e+01 2.63232667e-04 4.91752660e+01
1.43161286e-02 3.63111876e+01 2.68373584e-04 4.89682775e+01
1.44820207e-02 3.63111784e+01 2.73620494e-04 4.87629139e+01
1.46498351e-02 3.63111686e+01 2.78981540e-04 4.85579689e+01
1.48195942e-02 3.63111589e+01 2.84420263e-04 4.83523350e+01
1.49913204e-02 3.63111491e+01 2.89962577e-04 4.81475006e+01
